epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.9809016576385499,30.12,1.582147804069519,41.44,101.14291262626648
2,1.4130404655075073,48.17,1.2709633781433105,54.46,100.13980841636658
3,1.1164667362785339,59.894,1.1744060571670532,59.76,98.54060912132263
4,0.9076193265533448,67.772,1.0219759808540345,64.99,101.2136549949646
5,0.7488545336532593,73.724,0.9828395446777344,67.69,99.74161553382874
6,0.6183884238243103,78.492,0.6874194095611572,76.56,98.05253458023071
7,0.5341720532035827,81.442,0.5783471518516541,80.07,100.32012271881104
8,0.46759031935691836,83.858,0.6258495180606842,79.89,100.32907223701477
9,0.4076428071594238,85.804,0.4682095630168915,84.2,100.61320495605469
10,0.35363315173149107,87.63,0.4679389925956726,83.71,99.0143256187439
11,0.2962866448688507,89.782,0.41933049597740174,86.11,100.41614580154419
12,0.2586038057613373,91.068,0.45058418123722077,85.41,101.19360446929932
13,0.21446132160186768,92.74,0.3513567938089371,88.56,101.32214283943176
14,0.18762034798622132,93.554,0.3209321094751358,89.26,100.44039034843445
15,0.1701025032377243,94.296,0.3112177809000015,89.57,101.37291741371155
